年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,確定着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,馬体重,馬体重増減,調教師,所属,父馬名,母馬名,母の父馬名,毛色,生年月日
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,ショウナンバルディ,11,牡,6,坂井瑠星,57,,12,1.8,7,31.9,2.13.5,2,2,2,2,先行,36.8,14,458,6,松下武士,栗,キングズベスト,バノヴィナ,Redoute's Choice,黒鹿,20160423
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,エフェクトオン,12,牡,6,秋山真一,53,,4,0.7,13,92.3,2.12.4,12,12,12,12,追込,34.9,3,448,0,久保田貴,美,ディープインパクト,オヴァンボクイーン,Kalatos,黒鹿,20160409
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,トップウイナー,13,牡,6,和田翼,55,B,16,3.4,16,454.9,2.15.1,1,1,1,1,逃げ,38.5,16,478,12,鈴木孝志,栗,バゴ,トップアクトレス,テイエムオペラオー,栗毛,20160422
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,プレシャスブルー,14,牡,8,勝浦正樹,55,,11,1.6,10,72.3,2.13.3,15,15,14,14,後方,35.3,5,442,8,相沢郁,美,ディープインパクト,オンワードミシェル,アンバーシヤダイ,鹿毛,20140224
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,ダノンマジェスティ,15,牡,7,岩田望来,55,,10,1.3,6,29.6,2.13.0,13,13,13,13,後方,35.3,5,492,0,音無秀孝,栗,ディープインパクト,ドバイマジェスティ,Essence of Dubai,鹿毛,20150420
22,1,16,11,中京,日経新春ＨG2,芝,2200,良,晴,16,トラストケンシン,16,牡,7,池添謙一,53,,7,1.1,11,81.8,2.12.8,10,10,11,9,中団,35.5,8,474,8,高橋文雅,美,ハーツクライ,アフェランドラ,エルコンドルパサー,鹿毛,20150523
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,カンタベリーマッハ,1,牡,4,鮫島良太,56,,12,1.4,11,43.8,1.26.6,0,0,7,8,中団,39.7,12,510,2,鈴木慎太,美,アーネストリー,ウインブリーザ,ファンタスティックライト,鹿毛,20180424
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ロードシュトローム,2,牡,4,池添謙一,56,,14,1.9,5,9.8,1.27.1,0,0,1,1,逃げ,40.9,15,502,2,清水久詞,栗,マクフィ,オーシュペール,ダイワメジャー,鹿毛,20180407
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,マイグレーション,3,牡,4,Ｍ．デム,56,,8,0.7,2,5.7,1.25.9,0,0,11,10,中団,38.6,5,502,2,水野貴広,美,キンシャサノキセキ,テンザンコノハナ,カリズマティック,黒鹿,20180401
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,マーチリリー,4,牝,4,国分恭介,54,B,7,0.5,9,22.4,1.25.7,0,0,2,2,先行,39.5,11,490,0,牧浦充徳,栗,マジェスティックウォリアー,フミノアマゾン,フジキセキ,青鹿,20180215
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,セルフメイド,5,牡,4,松田大作,56,,15,2,14,130.9,1.27.2,0,0,4,7,中団,40.7,14,500,6,牧光二,美,サウスヴィグラス,ジョリファム,スペシャルウィーク,栗毛,20180406
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ビップエレナ,6,牝,4,勝浦正樹,54,,10,0.8,12,79.6,1.26.0,0,0,2,2,先行,39.7,12,476,-10,田島俊明,美,ヴァンセンヌ,ミュージー,El Prado,芦毛,20180407
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ヴァクストゥーム,7,牡,5,坂井瑠星,57,,2,0.1,7,15.5,1.25.3,0,0,14,13,追込,37.4,1,470,4,吉田直弘,栗,プリサイスエンド,ガーネットスター,エルコンドルパサー,鹿毛,20170313
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,テーオーダヴィンチ,8,牡,4,川田将雅,56,,6,0.4,1,2.7,1.25.6,0,0,7,4,先行,38.7,7,502,0,岡田稲男,栗,ダイワメジャー,シークレットジプシー,Sea of Secrets,栗毛,20180209
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ゼヒニオヨバズ,9,セ,6,柴山雄一,57,,13,1.7,15,521.2,1.26.9,0,0,14,15,後方,39,9,532,4,松山将樹,美,ゴスホークケン,パッションロード,ファンタスティックライト,黒鹿,20160503
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ポンペイワーム,10,牡,6,川須栄彦,57,,11,0.9,13,81,1.26.1,0,0,11,12,後方,38.8,8,536,2,畑端省吾,栗,Itsmyluckyday,Briecat,Adcat,栗毛,20160316
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,プレジールミノル,11,牡,4,幸英明,56,B,9,0.8,3,6.1,1.26.0,0,0,5,4,先行,39.4,10,508,16,北出成人,栗,ケープブランコ,セブンシークィーン,コロナドズクエスト,栗毛,20180406
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ロゼキルシュ,12,牝,5,松山弘平,55,,5,0.3,10,24.6,1.25.5,0,0,13,13,後方,37.9,2,492,0,杉山晴紀,栗,ヘニーヒューズ,ブロンコーネ,ブライアンズタイム,栗毛,20170302
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,メイショウオーギシ,13,牡,5,武豊,57,,3,0.1,4,7.4,1.25.3,0,0,7,8,差し,38.4,4,490,-6,飯田祐史,栗,アイルハヴアナザー,メイショウユウダチ,メイショウボーラー,栗毛,20170406
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,モズピンポン,14,牡,5,古川奈穂,53,,4,0.1,6,15.1,1.25.3,0,0,6,4,先行,38.6,5,518,-10,矢作芳人,栗,グランプリボス,グランプリエンゼル,アグネスデジタル,栗毛,20170504
22,1,16,12,中京,２勝ｸﾗｽ,ダ,1400,良,晴,15,ゼンノジャスタ,15,牡,5,岩田望来,57,,1,-0.1,8,21.7,1.25.2,0,0,10,10,差し,38.1,3,476,4,浅見秀一,栗,ジャスタウェイ,ウインアンジェラス,Bertolini,黒鹿,20170321
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,ストロンゲスト,1,牡,3,幸英明,56,,6,1.4,7,49.1,1.56.9,10,10,9,9,後方,39.1,4,496,2,茶木太樹,栗,ディーマジェスティ,リトルジュン,クロフネ,芦毛,20190423
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,ダイナミックリュウ,2,牡,3,和田竜二,56,,4,1,9,109.2,1.56.5,3,4,3,3,先行,39.4,6,492,6,吉村圭司,栗,ダイワメジャー,ブリリアントライフ,グラスワンダー,栗毛,20190423
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,アンディナイアブル,3,牡,3,横山典弘,56,,11,3.4,5,24.6,1.58.9,5,5,5,6,中団,41.6,11,490,-4,安田翔伍,栗,ヘニーヒューズ,スマイルコンテスト,サツカーボーイ,鹿毛,20190527
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,タボン,4,牡,3,国分優作,56,,7,1.9,11,254.4,1.57.4,11,11,11,11,後方,39.1,4,480,0,安達昭夫,栗,ジャスタウェイ,カフラピコ,キングカメハメハ,鹿毛,20190531
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,ジョーコモド,5,牡,3,服部寿希,53,,1,-0.3,4,18.4,1.55.5,5,5,7,7,差し,38.1,1,490,-6,中竹和也,栗,パイロ,アディシオン,マンハッタンカフェ,青鹿,20190427
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,モズミツボシ,6,牡,3,池添謙一,56,,10,2.3,2,6.1,1.57.8,3,2,3,3,先行,40.8,10,514,-12,飯田祐史,栗,グランプリボス,モズフリムカナイデ,クロフネ,鹿毛,20190217
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,サザンステート,7,牡,3,岩田望来,56,,2,0.3,3,12.4,1.55.8,1,1,1,1,逃げ,39,2,472,4,松永幹夫,栗,アメリカンペイトリオット,ディープサウス,ディープインパクト,黒鹿,20190401
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,モディカ,8,牝,3,松山弘平,52,,3,0.4,1,1.2,1.55.9,2,2,2,2,先行,39,2,464,-2,石坂公一,栗,American Pharoah,More Than Real,More Than Ready,鹿毛,20190905
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,キャンディボイス,9,牡,3,川須栄彦,56,,8,2,10,201.9,1.57.5,8,7,9,10,後方,39.7,8,538,-2,浜田多実,栗,ルーラーシップ,ライムキャンディ,タニノギムレット,鹿毛,20190512
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,タガノカンデラ,10,牝,3,城戸義政,54,,5,1.4,6,34.8,1.56.9,8,7,7,7,中団,39.4,6,464,2,奥村豊,栗,アイルハヴアナザー,タガノバトラ,フレンチデピュティ,栗毛,20190414
22,1,22,1,中京,未勝利,ダ,1800,良,晴,11,ヤマニンモノポリー,11,牡,3,古川吉洋,56,,9,2.1,8,77.1,1.57.6,7,7,5,5,中団,40.4,9,504,2,木原一良,栗,ロージズインメイ,ヤマニンプチガトー,ヤマニンセラフィム,栗毛,20190301
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,エムズブランコ,1,牝,3,川島信二,54,,11,2.3,14,481.3,1.15.9,0,0,16,13,後方,37.9,4,476,-8,荒川義之,栗,ケープブランコ,ピエナアプローズ,フジキセキ,栗毛,20190424
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ポメラート,2,牝,3,松山弘平,54,,1,-0.9,1,1.8,1.13.6,0,0,1,1,逃げ,37.4,2,484,-4,茶木太樹,栗,アメリカンペイトリオット,ニシノコハク,ゴールドアリュール,黒鹿,20190315
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,セイントスターズ,3,牡,3,古川吉洋,56,,14,2.9,13,330,1.16.5,0,0,14,13,後方,38.6,11,468,-14,青木孝文,美,アルデバラン2,セイントムーン,アドマイヤムーン,鹿毛,20190410
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ワンリオン,4,牡,3,岩田望来,56,,5,1.1,3,4.4,1.14.7,0,0,11,10,中団,37.1,1,496,10,牧浦充徳,栗,リオンディーズ,ホッコーアムール,スタチューオブリバティ,青鹿,20190411
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ビーバリスタ,5,牡,3,古川奈穂,52,,10,2.3,9,110.2,1.15.9,0,0,13,12,後方,38.2,8,474,-1,新谷功一,栗,ジョーカプチーノ,エムアイルシェル,アフリート,芦毛,20190313
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,アーリオオーリオ,6,牝,3,柴山雄一,54,,13,2.5,11,174.6,1.16.1,0,0,11,13,後方,38.5,10,446,-8,南田美知,美,タイムパラドックス,アリオーン,スターリングローズ,栗毛,20190322
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,サウンドヴァージル,7,牡,3,斎藤新,56,,7,1.3,7,31.9,1.14.9,0,0,8,8,中団,37.9,4,494,10,安達昭夫,栗,エピファネイア,ハートアンドハート,ハーツクライ,鹿毛,20190306
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,トキメキナイト,8,牡,3,藤井勘一,56,,2,0.9,2,4.2,1.14.5,0,0,4,6,差し,37.9,4,466,-6,武藤善則,美,カレンブラックヒル,ポンテペルレ,Green Desert,青鹿,20190302
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,コスモルージュ,9,牡,3,国分優作,56,,6,1.1,5,16,1.14.7,0,0,9,9,中団,37.5,3,470,6,五十嵐忠,栗,モーリス,フィロンルージュ,フレンチデピュティ,栗毛,20190429
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ハリーオンダウン,10,牝,3,川須栄彦,54,,3,1,4,14.4,1.14.6,0,0,4,4,先行,38,7,450,-4,高野友和,栗,ロードカナロア,ハーツキー,ハーツクライ,黒鹿,20190223
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ウェルメイド,11,牝,3,和田竜二,54,,8,1.8,6,28.1,1.15.4,0,0,7,6,中団,38.6,11,420,-4,庄野靖志,栗,キンシャサノキセキ,エルテアトロ,キングカメハメハ,鹿毛,20190127
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,セイキングダム,12,牡,3,幸英明,56,,9,1.9,8,35.1,1.15.5,0,0,4,4,先行,38.9,14,466,-6,加用正,栗,アジアエクスプレス,ホウライマツリ,エンパイアメーカー,黒鹿,20190320
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ワンダーボルドネス,13,牡,3,森裕太朗,56,,16,3.7,15,544,1.17.3,0,0,14,16,後方,39.4,15,478,2,羽月友彦,栗,トーセンジョーダン,ルスナイオブカラー,ブライアンズタイム,栗毛,20190322
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,プリンアラモード,14,牝,3,城戸義政,54,,15,3.1,16,660.1,1.16.7,0,0,2,2,先行,40.4,16,412,2,石毛善彦,美,ディスクリートキャット,ミエノプリンプリン,ハービンジャー,鹿毛,20190409
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,マイネルホリゾンテ,15,牡,3,柴田未崎,56,,12,2.3,12,221.7,1.15.9,0,0,9,10,中団,38.6,11,430,0,田島俊明,美,イスラボニータ,コスモスカイライン,グラスワンダー,鹿毛,20190525
22,1,22,2,中京,未勝利,ダ,1200,良,晴,16,ゴッドハニービー,16,牝,3,団野大成,54,,4,1,10,166.4,1.14.6,0,0,2,2,先行,38.3,9,440,-2,角田晃一,栗,イスラボニータ,レーヌドオリエント,キングカメハメハ,黒鹿,20190205
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ミヤジタンジロウ,1,牡,3,和田竜二,56,,11,4.6,11,68.6,1.59.0,14,14,12,12,後方,40.4,10,508,,川村禎彦,栗,マクフィ,エイシンヒマワリ,Uncle Mo,鹿毛,20190222
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,タマモエイトビート,2,牡,3,古川吉洋,56,,9,3.9,14,271.8,1.58.3,12,12,14,14,後方,39.3,4,520,,武英智,栗,コパノリッキー,タマモメロディ,ブライアンズタイム,鹿毛,20190508
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ヒロシゲジャック,3,牡,3,団野大成,56,,7,3.7,12,76.3,1.58.1,8,7,8,8,中団,40.2,8,508,,北出成人,栗,クリエイター2,チャームウィーク,スペシャルウィーク,芦毛,20190306
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ヒロノアステロイド,4,牡,3,松山弘平,56,,4,2.8,6,28.3,1.57.2,11,11,12,11,追込,38.5,2,560,,梅田智之,栗,アジアエクスプレス,アサヒライジング,ロイヤルタッチ,栗毛,20190213
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ブリッツファング,5,牡,3,池添謙一,56,,1,-1.2,1,1.7,1.54.4,3,3,4,4,先行,37.5,1,460,,大久保龍,栗,ホッコータルマエ,リリーオブザナイル,バゴ,鹿毛,20190511
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ゴールデンベッセル,6,牡,3,岩田望来,56,,14,6.1,9,50.9,2.00.5,8,9,10,12,後方,42,12,512,,吉村圭司,栗,アジアエクスプレス,ピサノマイセン,マイニング,栗毛,20190424
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ベネフィック,7,牡,3,川田将雅,56,,10,4.1,2,3.5,1.58.5,10,10,9,9,中団,40.1,7,534,,中内田充,栗,キングカメハメハ,ヒストリックレディ,ネオユニヴァース,栗毛,20190224
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ミステリーボックス,8,セ,3,城戸義政,56,,3,2.7,10,52.5,1.57.1,6,5,5,5,差し,39.9,6,506,,羽月友彦,栗,ストロングリターン,オーパスクイーン,スペシャルウィーク,栗毛,20190420
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ネクストリーダー,9,牝,3,幸英明,54,,12,5,5,23.3,1.59.4,1,1,1,2,逃げ,42.7,14,494,,新谷功一,栗,ザファクター,エポカブラヴァ,Point Given,鹿毛,20190407
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,ミスターホワイト,10,牡,3,武豊,56,,2,1.2,3,7.5,1.55.6,2,2,2,1,先行,38.9,3,508,,矢作芳人,栗,ハーツクライ,ホワイトヴェール,クロフネ,芦毛,20190405
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,フォンメイリー,11,牝,3,斎藤新,54,,5,3.1,7,43.4,1.57.5,5,5,5,5,中団,40.3,9,470,,四位洋文,栗,ドレフォン,チャイナドール,スペシャルウィーク,栗毛,20190417
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,モズニキタイ,12,牡,3,川須栄彦,56,,6,3.2,4,19.6,1.57.6,3,3,2,3,先行,40.8,11,514,,中尾秀正,栗,グランプリボス,モズソフィ,マンハッタンカフェ,鹿毛,20190402
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,マー,13,牝,3,横山典弘,54,,8,3.7,8,45.1,1.58.1,12,12,10,9,中団,39.6,5,434,,森田直行,栗,ヘニーヒューズ,カノン,フォーティナイナーズサン,栗毛,20190421
22,1,22,3,中京,新馬,ダ,1800,良,晴,14,スマートベル,14,牝,3,柴山雄一,54,,13,5.2,13,88.7,1.59.6,7,7,5,5,中団,42.4,13,540,,南井克巳,栗,ダイワメジャー,ベルエアメイダン,Shamardal,栗毛,20190514
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,イチザウイナー,1,牡,3,服部寿希,53,,8,1.9,8,307.6,1.27.1,0,0,7,7,後方,37,7,454,2,服部利之,栗,ヴァンセンヌ,イチザラブ,タイムパラドックス,鹿毛,20190422
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,リメイク,2,牡,3,和田竜二,56,,3,0.2,3,4.3,1.25.4,0,0,4,4,先行,35.6,1,488,12,新谷功一,栗,ラニ,サリエル,キングカメハメハ,栗毛,20190418
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,ジレトール,3,牡,3,川田将雅,56,,1,-0.2,1,2.9,1.25.2,0,0,1,1,逃げ,35.8,2,486,8,松永幹夫,栗,ロードカナロア,サンビスタ,スズカマンボ,鹿毛,20190422
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,フォーチュンテラー,4,牡,3,池添謙一,56,,4,1.2,5,6.3,1.26.4,0,0,4,5,差し,36.6,5,472,2,浜田多実,栗,シニスターミニスター,クライミングローズ,マンハッタンカフェ,青鹿,20190306
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,イチゴキネンビ,5,牡,3,斎藤新,56,,7,1.7,7,49.9,1.26.9,0,0,4,6,中団,37.1,8,466,-4,小桧山悟,美,マクフィ,イチゴアミーラ,シンボリクリスエス,鹿毛,20190407
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,シーヴィクセン,6,牝,3,田中勝春,54,,2,0.2,2,3.1,1.25.4,0,0,2,2,先行,35.9,3,476,4,藤沢和雄,美,Into Mischief,Sly Warrior,First Samurai,鹿毛,20190205
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,ペプチドアケボシ,7,牡,3,古川吉洋,56,,6,1.5,4,5.9,1.26.7,0,0,8,8,後方,36.5,4,460,-2,木原一良,栗,イスラボニータ,ペプチドヴィーナス,ワークフォース,黒鹿,20190414
22,1,22,4,中京,１勝ｸﾗｽ*,ダ,1400,良,晴,8,ケイティレインボー,8,牡,3,幸英明,56,,5,1.3,6,49.7,1.26.5,0,0,2,3,先行,36.9,6,480,-2,杉山佳明,栗,サトノアラジン,ファンディータ,パイロ,青鹿,20190505
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,テーオーアリエス,1,牝,3,松山弘平,54,,4,1,4,7.7,2.02.9,4,4,4,4,先行,35.4,4,480,-2,岡田稲男,栗,ダイワメジャー,ハーレクイーン,Canford Cliffs,黒鹿,20190210
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,フローレンスハニー,2,牝,3,岩田望来,54,,5,1.1,5,13.8,2.03.0,4,5,4,4,先行,35.5,5,424,4,高柳大輔,栗,エイシンヒカリ,フローレンスガール,El Corredor,芦毛,20190320
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,シウン,3,牝,3,池添謙一,54,,7,1.5,6,38.6,2.03.4,7,7,7,7,後方,35.6,6,446,0,須貝尚介,栗,モーリス,ベルワトリング,Dushyantor,黒鹿,20190208
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,プレミアスコア,4,牝,3,武豊,54,,1,-0.2,3,6.6,2.01.9,1,1,1,1,逃げ,34.8,2,472,0,松永幹夫,栗,ハーツクライ,ファイナルスコア,Dylan Thomas,栗毛,20190219
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,ベガエクスプレス,5,牝,3,幸英明,54,,6,1.1,7,44.2,2.03.0,2,2,2,2,先行,35.7,7,424,-2,鈴木孝志,栗,ジャスタウェイ,ムーンエクスプレス,アドマイヤムーン,黒鹿,20190407
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,ストーリア,6,牝,3,和田竜二,54,,2,0.2,2,5.2,2.02.1,3,3,3,3,先行,34.7,1,486,-2,杉山晴紀,栗,リオンディーズ,フェリス,ジャングルポケット,鹿毛,20190330
22,1,22,5,中京,未勝利・牝,芝,2000,良,晴,7,フォーブス,7,牝,3,川田将雅,54,,3,0.5,1,1.5,2.02.4,6,5,6,6,追込,34.8,2,428,6,藤原英昭,栗,ディープインパクト,ゴーイントゥザウィンドウ,Tapit,鹿毛,20190215
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,グロースザーゲ,1,牝,3,池添謙一,54,,13,2.4,8,17.2,1.36.7,0,3,4,4,先行,37.5,13,402,-2,小林真也,栗,ハービンジャー,フローラルカーヴ,アグネスタキオン,栗毛,20190225
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,マーラー,2,牡,3,国分優作,56,,15,3,15,611,1.37.3,0,8,10,13,後方,37.1,12,412,0,安達昭夫,栗,パイロ,ザリーン,メイショウオウドウ,栗毛,20190318
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,クロニクルノヴァ,3,牡,3,団野大成,56,,4,0.7,3,6.4,1.35.0,0,11,10,8,差し,35.4,6,480,8,武幸四郎,栗,キズナ,ウォークロニクル,ウォーエンブレム,黒鹿,20190305
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ギャラクシーセブン,4,牡,3,城戸義政,56,,7,0.9,14,440,1.35.2,0,6,8,5,中団,35.8,8,456,20,荒川義之,栗,モーリス,ローデッド,ディープインパクト,栗毛,20190516
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,バーニングヒート,5,牝,3,横山典弘,54,,2,0.5,1,4.6,1.34.8,0,11,13,11,追込,34.9,1,438,2,安田翔伍,栗,ドレフォン,リーサルヒート,Unusual Heat,黒鹿,20190120
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ボルザコフスキー,6,牡,3,岩田望来,56,,3,0.6,11,34,1.34.9,0,9,10,11,追込,35,2,498,-2,清水久詞,栗,キズナ,ベラルーサ,Orpen,黒鹿,20190210
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ウォーターレクラ,7,牝,3,柴山雄一,54,,10,1.5,5,7.4,1.35.8,0,15,15,15,後方,35.1,3,426,-4,岡田稲男,栗,シルバーステート,レッドシャトル,タイキシャトル,鹿毛,20190504
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ダノンフォーナイン,8,牡,3,武豊,56,,6,0.7,7,10.7,1.35.0,0,2,2,2,先行,36.1,10,502,-2,音無秀孝,栗,ディープインパクト,タミーザトルピード,More Than Ready,青鹿,20190310
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,エスオーライアン,9,牡,3,古川吉洋,56,,5,0.7,9,20.4,1.35.0,0,11,8,8,中団,35.4,6,448,-2,木原一良,栗,エイシンフラッシュ,アルーリングアイズ,ネオユニヴァース,鹿毛,20190509
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,オーラライト,10,牝,3,松山弘平,54,,11,1.8,10,20.9,1.36.1,0,9,4,5,中団,36.8,11,436,-6,西村真幸,栗,ルーラーシップ,タンザナイト,サンデーサイレンス,黒鹿,20190503
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ファイアーコード,11,牝,3,和田竜二,54,,14,2.8,13,61.7,1.37.1,0,3,4,5,中団,37.7,14,416,-8,平田修,栗,モーリス,ファイアマーシャル,ディープインパクト,鹿毛,20190223
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,アスクコンナモンダ,12,牡,3,川田将雅,56,,1,-0.5,2,6.3,1.34.3,0,3,3,3,先行,35.3,5,438,2,中内田充,栗,ダイワメジャー,アンナモンダ,Monsun,栗毛,20190214
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,モンサンプリーモ,13,牝,3,川須栄彦,54,,9,1.2,12,40.6,1.35.5,0,6,7,8,中団,35.9,9,488,6,中竹和也,栗,キズナ,ジュリアビコー,ジェイドロバリー,青毛,20190516
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,ダンツキタイ,14,牝,3,幸英明,54,,8,1,6,7.9,1.35.3,0,14,14,13,後方,35.1,3,490,0,谷潔,栗,キズナ,ルドラ,Cape Cross,黒鹿,20190216
22,1,22,6,中京,未勝利,芝,1600,良,晴,15,サトノジーク,15,牡,3,斎藤新,56,B,12,1.9,4,7.1,1.36.2,0,1,1,1,逃げ,38,15,484,-2,安田隆行,栗,ロードカナロア,プレザントブリーズ,マンハッタンカフェ,黒鹿,20190318
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,レンツシュピッツェ,1,牡,4,松山弘平,56,,6,1.6,4,25.5,2.14.4,3,3,2,2,先行,37,6,490,6,寺島良,栗,ドゥラメンテ,シュピッツェ,Azamour,栗毛,20180423
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,サツキハピネス,2,牝,4,幸英明,54,,8,1.9,3,6.9,2.14.7,9,9,9,9,後方,36.3,3,462,2,寺島良,栗,エピファネイア,ハッピーユーゲント,ディープインパクト,黒鹿,20180506
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,ナムラショウグン,3,牡,5,川須栄彦,57,,5,1.6,9,197.2,2.14.4,6,6,6,6,中団,36.4,5,492,4,羽月友彦,栗,ヴィクトワールピサ,サンクイーン2,Storm Cat,青鹿,20170317
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,ヴィトーリア,4,牡,4,横山典弘,56,,2,0.3,2,6.3,2.13.1,8,8,8,8,追込,34.9,1,438,0,武英智,栗,ドゥラメンテ,スターズインハーアイズ,Woodman,黒鹿,20180328
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,メイショウサンガ,5,牡,5,岩田望来,57,,4,1.5,7,46.2,2.14.3,6,6,6,6,差し,36.3,3,532,0,千田輝彦,栗,ワークフォース,カネトシガーネット,キングカメハメハ,鹿毛,20170211
22,1,22,7,中京,１勝ｸﾗｽ,芝,2200,良,晴,9,スワーヴエルメ,6,牡,4,川田将雅,56,,1,-0.3,1,1.2,2.12.8,5,5,5,5,差し,35,2,526,0,堀宣行,美,ドゥラメンテ,アイムユアーズ,ファルブラヴ,栗毛,20180130
