年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,父馬名,生年月日
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,エターナリー,11,牡,5,武藤雅,54,,3,0.2,3,5.7,1.35.5,0,0,3,3,先行,36.4,6,ゴールドアリュール,20170326
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,ヤマメ,12,牝,5,小林脩斗,51,,15,2.5,13,78.4,1.37.8,0,0,7,8,中団,37.8,15,パイロ,20170415
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,スズカコーズマンボ,13,牡,5,永野猛蔵,53,B,8,1.2,9,31.5,1.36.5,0,0,11,10,中団,36.2,3,スズカコーズウェイ,20170216
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,メイショウマサヒメ,14,牝,5,荻野極,51,,1,-0.1,7,12.7,1.35.3,0,0,1,1,逃げ,36.6,10,パイロ,20170509
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,オルクリスト,15,牡,6,野中悠太,54,,14,1.8,14,79.1,1.37.1,0,0,16,16,後方,36.3,5,トゥザグローリー,20160407
22,6,26,10,東京,甲州街Ｈ･3勝,ダ,1600,良,晴,16,ベルゼール,16,牝,4,菊沢一樹,51,B,9,1.4,8,17.4,1.36.7,0,0,9,10,中団,36.5,7,スクリーンヒーロー,20180126
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,サンクテュエール,1,牝,5,津村明秀,54,B,9,0.9,9,28.8,1.21.1,0,0,8,8,中団,34,7,ディープインパクト,20170213
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,アイラブテーラー,2,牝,6,丸田恭介,54,,7,0.7,11,45.3,1.20.9,0,0,16,15,後方,33,1,トーセンラー,20160520
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,ラルナブリラーレ,3,牝,5,三浦皇成,52,,2,0,5,7.1,1.20.2,0,0,10,8,差し,33.1,3,ハーツクライ,20170426
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,コムストックロード,4,牝,3,荻野極,50,,4,0.2,6,7.5,1.20.4,0,0,3,3,先行,34,7,シルバーステート,20190320
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,イーサンパンサー,5,牡,6,江田照男,53,,16,1.8,12,54.6,1.22.0,0,0,14,15,後方,34.1,10,スズカフェニックス,20160320
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,トリプルエース,6,牡,5,菅原明良,55,,12,1,7,18.5,1.21.2,0,0,8,8,中団,34.1,10,Shamardal,20170512
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,ルークズネスト,7,牡,4,田辺裕信,56,,5,0.2,4,7.1,1.20.4,0,0,12,12,後方,33,1,モーリス,20180311
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,キタイ,8,牝,6,柴田大知,51,,15,1.8,13,71.9,1.22.0,0,0,1,1,逃げ,36.2,16,ダンカーク,20160217
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,デュープロセス,9,牡,6,木幡巧也,56,,8,0.9,16,149.2,1.21.1,0,0,6,4,先行,34.4,14,Daiwa Major,20160402
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,グレイイングリーン,10,牡,4,岩田望来,55,,3,0.2,1,4.3,1.20.4,0,0,7,7,差し,33.5,4,ディープインパクト,20180312
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,リフレイム,11,牝,4,野中悠太,53,,1,0,2,4.7,1.20.2,0,0,2,2,先行,34.2,12,American Pharoah,20180218
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,リレーションシップ,12,牡,5,戸崎圭太,55,,6,0.6,3,6,1.20.8,0,0,4,4,先行,34.2,12,ルーラーシップ,20170320
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,レッドサイオン,13,セ,6,木幡育也,53,B,11,0.9,14,89.5,1.21.1,0,0,10,8,中団,34,7,ロードカナロア,20160417
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,ヴィジュネル,14,牡,4,内田博幸,54,,13,1.2,8,23,1.21.4,0,0,14,14,後方,33.8,6,マクフィ,20180519
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,ウーリリ,15,牡,6,武藤雅,55,B,14,1.5,10,44.5,1.21.7,0,0,4,4,先行,35,15,ディープインパクト,20160405
22,6,26,11,東京,パラダＨ(L),芝,1400,良,晴,16,ボンボヤージ,16,牝,5,永野猛蔵,52,,10,0.9,15,121.4,1.21.1,0,0,12,12,後方,33.7,5,ロードカナロア,20170425
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,コンクエスト,1,牡,3,戸崎圭太,54,,15,2.8,1,3.5,1.26.1,0,0,6,7,中団,38.4,15,キズナ,20190505
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ミンナノユメミノル,2,牡,3,荻野極,54,,11,1.4,6,12.7,1.24.7,0,0,5,5,中団,37.2,9,ノボジャック,20190406
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,バルミュゼット,3,牡,3,永野猛蔵,52,,1,-0.1,5,8.8,1.23.3,0,0,12,14,追込,34.9,1,フリオーソ,20190331
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,トーセンインディゴ,4,牡,4,田辺裕信,57,,7,0.8,11,42.9,1.24.1,0,0,12,11,後方,35.9,4,ダイワメジャー,20180411
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ハッピーアナザー,5,牡,4,内田博幸,57,,10,1.3,12,55.7,1.24.6,0,0,1,1,逃げ,37.6,13,アイルハヴアナザー,20180527
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ブレーヴソウル,6,牡,4,江田照男,57,B,16,3.4,14,158.5,1.26.7,0,0,9,11,後方,38.6,16,ハーツクライ,20180127
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,セブンダートオー,7,牡,3,三浦皇成,54,,6,0.8,2,5,1.24.1,0,0,9,9,中団,36.2,5,ホッコータルマエ,20190320
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,オーロラアーク,8,牝,3,武士沢友,52,,4,0.7,10,30.1,1.24.0,0,0,15,14,追込,35.5,2,クリエイター2,20190408
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ストレートリターン,9,牡,3,武藤雅,54,,14,2.5,8,26.7,1.25.8,0,0,15,14,後方,37.3,10,ストロングリターン,20190427
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ゲンパチプライド,10,牡,3,水沼元輝,51,,3,0.1,9,27.7,1.23.4,0,0,9,9,差し,35.5,2,ミッキーアイル,20190227
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,アピテソーロ,11,牡,5,小林脩斗,54,B,13,2.4,15,196.2,1.25.7,0,0,12,11,後方,37.6,13,ブラックタイド,20170206
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,ソヨギ,12,牝,5,柴田大知,55,,12,1.5,16,230.6,1.24.8,0,0,3,4,先行,37.4,11,トゥザワールド,20170510
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,アイスマン,13,牡,4,岩田望来,57,,5,0.7,4,6.1,1.24.0,0,0,8,7,中団,36.3,7,スウェプトオーヴァーボード,20180520
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,トウカイファクター,14,牡,3,佐々木大,51,,9,1.3,13,84.1,1.24.6,0,0,2,2,先行,37.5,12,ザファクター,20190522
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,テイエムアトム,15,牡,4,丸田恭介,57,B,2,0.1,7,15.7,1.23.4,0,0,3,2,先行,36.2,5,ヘニーヒューズ,20180318
22,6,26,12,東京,１勝ｸﾗｽ,ダ,1400,良,晴,16,サザンエルフ,16,牝,3,菅原明良,52,,8,1,3,5.6,1.24.3,0,0,6,5,中団,36.8,8,パイロ,20190430
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ヴァルカン,1,牝,2,菅原明良,54,,15,2.8,8,25.6,1.27.1,0,0,10,13,後方,37.9,11,ベストウォーリア,20200417
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ビップナージャ,2,牝,2,菊沢一樹,54,,9,1.8,10,63.5,1.26.1,0,0,12,10,中団,37.3,8,レーヴミストラル,20200516
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,アネモネポルト,3,牝,2,小林凌大,52,,11,2.1,15,412,1.26.4,0,0,10,7,中団,37.9,11,バンブーエール,20200313
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,タイセイドルチェ,4,牝,2,Ｍ．デム,54,,2,0.7,7,24.7,1.25.0,0,0,6,4,先行,36.8,4,キズナ,20200510
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ワクワクルンルン,5,牝,2,柴田大知,54,,13,2.3,6,19.7,1.26.6,0,0,6,10,中団,37.9,11,ウインバリアシオン,20200311
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,デルマウッチャリ,6,牝,2,的場勇人,54,,12,2.2,16,469.6,1.26.5,0,0,14,14,後方,37.1,6,ノヴェリスト,20200418
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,オールマキシマム,7,牝,2,小林脩斗,52,,3,0.8,5,18.1,1.25.1,0,0,12,10,差し,36.3,2,ホッコータルマエ,20200222
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,キーオブハート,8,牝,2,野中悠太,54,,16,3.4,12,172.7,1.27.7,0,0,8,7,中団,39.2,16,キンシャサノキセキ,20200323
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,テイエムスイスイ,9,牝,2,岩田康誠,54,,6,1.5,4,17,1.25.8,0,0,1,1,逃げ,37.9,11,メイショウボーラー,20200310
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,メダルラッシュ,10,牝,2,横山武史,54,B,4,0.8,3,8.1,1.25.1,0,0,4,4,先行,36.8,4,マインドユアビスケッツ,20200217
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,サトノミネルヴァ,11,牝,2,三浦皇成,54,,5,1.4,2,4.8,1.25.7,0,0,4,4,先行,37.5,9,ロードカナロア,20200224
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ミズカガミ,12,牝,2,横山琉人,52,,7,1.7,14,276.9,1.26.0,0,0,8,7,中団,37.5,9,ノヴェリスト,20200327
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,メロディックスカイ,13,牝,2,原優介,51,,14,2.6,13,241.6,1.26.9,0,0,15,15,後方,37.1,6,カレンブラックヒル,20200325
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ニシノカシミヤ,14,牝,2,永野猛蔵,52,,1,-0.7,1,1.8,1.24.3,0,0,2,2,先行,36.4,3,ディスクリートキャット,20200425
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,モルフェブーケ,15,牝,2,丹内祐次,54,,10,2,9,31.7,1.26.3,0,0,3,3,先行,38.2,15,ダイワメジャー,20200304
22,10,8,1,東京,未勝利・牝*,ダ,1400,重,曇,16,ペイシャコリン,16,牝,2,松岡正海,54,,8,1.8,11,137.9,1.26.1,0,0,16,16,後方,36.2,1,トゥザワールド,20200520
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ビップスコーピオン,1,牡,2,柴田大知,55,,7,2,7,21.3,1.38.7,0,0,13,14,後方,37.3,2,サトノクラウン,20200216
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,シュネーガッツ,2,牡,2,丹内祐次,55,B,5,1.8,9,28.4,1.38.5,0,0,10,8,中団,37.9,6,ディスクリートキャット,20200220
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,キタノソロモン,3,牡,2,菊沢一樹,55,,9,2.4,11,83.1,1.39.1,0,0,15,15,後方,37.4,3,モンテロッソ,20200429
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ラージフィールド,4,セ,2,山田敬士,53,B,15,3.4,15,283.2,1.40.1,0,0,9,8,中団,39.4,13,マジェスティックウォリアー,20200506
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ブレイゼスト,5,牡,2,石橋脩,55,,2,0.2,1,2.3,1.36.9,0,0,1,1,逃げ,37.5,4,デクラレーションオブウォー,20200303
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,バンブトンプロ,6,牡,2,武士沢友,55,,4,1.6,4,10.6,1.38.3,0,0,7,6,差し,38.3,9,マクフィ,20200303
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,スペンサーバローズ,7,牡,2,戸崎圭太,55,,1,-0.2,2,5.5,1.36.7,0,0,5,3,先行,37,1,ルーラーシップ,20200512
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,フッカツノアカシ,8,牡,2,原優介,52,,13,2.9,12,135.1,1.39.6,0,0,13,12,後方,38.4,10,バンドワゴン,20200410
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ラブルパイル,9,牡,2,秋山稔樹,54,B,11,2.7,8,24.5,1.39.4,0,0,3,4,先行,39.6,15,ゴールドアクター,20200524
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ヴァークスティ,10,牡,2,横山琉人,53,,6,1.9,14,239.8,1.38.6,0,0,11,11,後方,37.6,5,ジャスタウェイ,20200324
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ニシノオールマイト,11,牡,2,内田博幸,55,,10,2.4,10,49.5,1.39.1,0,0,11,12,後方,38,7,ヴィクトワールピサ,20200206
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,サノノタルマエ,12,牝,2,田辺裕信,54,,8,2.1,6,17.6,1.38.8,0,0,2,2,先行,39.3,11,ホッコータルマエ,20200423
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,ユイノデストラーデ,13,牡,2,木幡初也,55,,3,1.2,5,13.3,1.37.9,0,0,3,4,先行,38.1,8,シャンハイボビー,20200423
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,グランリージェント,14,牡,2,水沼元輝,52,,12,2.8,13,148.1,1.39.5,0,0,5,6,中団,39.5,14,ドリームバレンチノ,20200404
22,10,8,2,東京,未勝利*,ダ,1600,重,曇,15,トーセンドリフト,15,牡,2,横山和生,55,,14,3.2,3,5.8,1.39.9,0,0,7,8,中団,39.3,11,マクマホン,20200307
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,アナザームーン,1,牡,2,武藤雅,55,,10,1.5,10,169.4,1.22.4,0,0,7,9,中団,35.4,10,トーセンラー,20200426
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,ルーフ,2,牝,2,田辺裕信,54,,3,0.1,1,2.6,1.21.0,0,0,2,2,先行,34.6,3,ダイワメジャー,20200319
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,アスキーアート,3,牝,2,松岡正海,54,,7,1,16,431.1,1.21.9,0,0,10,11,後方,34.4,2,ダノンレジェンド,20200509
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,ピンクジン,4,牝,2,永野猛蔵,52,,5,0.9,5,13.4,1.21.8,0,0,5,5,中団,35,5,ダノンバラード,20200421
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,ナックアロマ,5,牝,2,田中勝春,54,,15,3.5,12,354.6,1.24.4,0,0,16,16,後方,35.5,13,ロゴタイプ,20200204
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,バトルトウショウ,6,牝,2,木幡巧也,54,B,11,2.3,12,354.6,1.23.2,0,0,14,13,後方,35.1,6,デクラレーションオブウォー,20200402
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,ハルオーブ,7,牡,2,三浦皇成,55,,4,0.8,3,6.2,1.21.7,0,0,3,2,先行,35.2,8,ディーマジェスティ,20200324
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,マルチャン,8,牡,2,丸田恭介,55,,1,0,4,6.9,1.20.9,0,0,7,7,差し,34,1,ラブリーデイ,20200507
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,シャンハイドール,9,牝,2,小林脩斗,52,,12,2.4,11,249.3,1.23.3,0,0,12,12,後方,35.5,13,ノヴェリスト,20200415
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,スティルディマーレ,10,牡,2,ルメール,55,B,2,0,2,3.4,1.20.9,0,0,1,1,逃げ,34.8,4,ロードカナロア,20200219
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,エコロジョイアー,11,牡,2,横山武史,55,,8,1.1,8,45,1.22.0,0,0,3,4,先行,35.4,10,サトノアラジン,20200222
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,グラシアーノ,12,牝,2,藤田菜七,52,,14,3.1,14,370.9,1.24.0,0,0,10,10,中団,36.8,15,リオンディーズ,20200204
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,ノーブルジャック,13,牡,2,原優介,52,,13,2.6,9,56.5,1.23.5,0,0,13,13,後方,35.4,10,バゴ,20200520
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,リサリサ,14,牝,2,内田博幸,54,,9,1.1,6,21.1,1.22.0,0,0,7,7,中団,35.1,6,イスラボニータ,20200309
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,マホロバ,15,牡,2,菅原明良,55,,6,1,7,29.4,1.21.9,0,0,5,5,中団,35.2,8,キズナ,20200404
22,10,8,3,東京,未勝利*,芝,1400,稍,曇,16,リュウノフラワー,16,牝,2,小林凌大,52,,16,6.5,15,398.7,1.27.4,0,0,14,15,後方,38.8,16,リアルスティール,20200502
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,マーゴットバモス,1,牡,2,丹内祐次,55,,13,3.2,13,83.3,1.21.0,0,0,16,16,後方,34.9,1,アポロキングダム,20200324
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ワイワイスマイル,2,牡,2,永野猛蔵,53,,14,3.2,10,55.5,1.21.0,0,0,3,4,先行,38.5,16,パドトロワ,20200416
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,イニッツィオ,3,牡,2,菅原明良,55,,1,-0.4,6,21.9,1.17.8,0,0,1,1,逃げ,35.7,2,ネロ,20200314
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ナムラアダム,4,牡,2,小林凌大,53,,9,2.1,14,122.9,1.19.9,0,0,13,13,後方,36.3,8,ミッキーアイル,20200418
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ティトルタトル,5,牡,2,伊藤工真,55,,15,3.2,12,62.1,1.21.0,0,0,15,15,後方,35.7,2,ディスクリートキャット,20200213
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,デアシュトゥルム,6,牡,2,岩田康誠,55,,7,1.8,2,4.9,1.19.6,0,0,2,2,先行,37.3,13,ファインニードル,20200322
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ミスファイト,7,牝,2,黛弘人,54,,8,2.1,9,48.8,1.19.9,0,0,5,7,中団,37.2,12,イスラボニータ,20200429
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,デルマツキダシ,8,牡,2,三浦皇成,55,,10,2.1,5,13.8,1.19.9,0,0,10,8,中団,37,10,ストロングリターン,20200406
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ニジュウダンサー,9,牝,2,横山武史,54,,2,0.4,3,5.2,1.18.2,0,0,3,3,先行,35.8,4,ミッキーアイル,20200306
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,プリンスメーカー,10,牡,2,原優介,52,,5,1.6,15,133,1.19.4,0,0,12,11,後方,36.3,8,リアルインパクト,20200507
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,イナホ,11,牝,2,山田敬士,52,,12,2.7,16,200,1.20.5,0,0,14,14,後方,36.1,5,リアルインパクト,20200403
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,キャットナップ,12,牝,2,菊沢一樹,54,,16,3.4,11,57,1.21.2,0,0,6,8,中団,38.3,15,ディスクリートキャット,20200410
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,フェイマスドクター,13,牡,2,松岡正海,55,,11,2.5,8,45.4,1.20.3,0,0,6,4,先行,37.7,14,エスポワールシチー,20200322
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,グッジョブ,14,牡,2,戸崎圭太,55,,3,1.1,4,5.6,1.18.9,0,0,8,8,差し,36.1,5,ベストウォーリア,20200428
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,ニシノサキュバス,15,牝,2,野中悠太,54,,4,1.6,7,28.2,1.19.4,0,0,11,11,追込,36.2,7,ネロ,20200409
22,10,8,4,東京,新馬,ダ,1300,重,曇,16,グランファラオ,16,牡,2,Ｍ．デム,55,,6,1.7,1,2.9,1.19.5,0,0,8,4,先行,37,10,American Pharoah,20200503
22,10,8,5,東京,新馬,芝,1800,良,曇,17,プレザントロンドン,1,牝,2,三浦皇成,54,,5,1.8,2,3.9,1.48.8,0,4,4,4,先行,35.6,11,ロードカナロア,20200215
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ジャーニーメモリー,2,牡,2,北村宏司,55,,3,1.7,6,20.4,1.48.7,0,7,7,7,差し,35.2,7,ヴィクトワールピサ,20200327
22,10,8,5,東京,新馬,芝,1800,良,曇,17,チェリーロマンス,3,牝,2,山田敬士,52,,14,3.7,12,174.9,1.50.7,0,14,14,14,後方,35.8,12,ラニ,20200418
22,10,8,5,東京,新馬,芝,1800,良,曇,17,シャイニースイフト,4,牡,2,佐々木大,52,,4,1.7,10,55.7,1.48.7,0,4,4,4,先行,35.4,9,ダノンバラード,20200402
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ショウミーザマネー,5,牝,2,戸崎圭太,54,,9,2,3,5.8,1.49.0,0,12,12,11,中団,34.7,4,サトノダイヤモンド,20200325
22,10,8,5,東京,新馬,芝,1800,良,曇,17,レザン,6,牝,2,原優介,51,,8,2,13,177.1,1.49.0,0,12,12,11,中団,34.7,4,ゴールドシップ,20200519
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ナイトフォールサン,7,牡,2,石川裕紀,55,,11,2.2,8,31.8,1.49.2,0,1,1,1,逃げ,36.5,14,サトノクラウン,20200322
22,10,8,5,東京,新馬,芝,1800,良,曇,17,レヴォルタード,8,牡,2,ルメール,55,,2,0.4,1,2.6,1.47.4,0,4,4,4,先行,34.2,2,エピファネイア,20200316
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ブラッドタイプビー,9,牡,2,野中悠太,55,,15,3.8,17,281.7,1.50.8,0,14,15,14,後方,35.8,12,スウィフトカレント,20200530
22,10,8,5,東京,新馬,芝,1800,良,曇,17,タカイチシップ,10,牝,2,木幡初也,54,,16,4.6,16,245.4,1.51.6,0,7,11,13,後方,37,16,ゴールドシップ,20200407
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ヘーデンチョウサン,11,牡,2,木幡巧也,55,,17,8.2,15,224.7,1.55.2,0,17,17,17,後方,38.7,17,ハービンジャー,20200504
22,10,8,5,東京,新馬,芝,1800,良,曇,17,コトブキヘスペラス,12,牡,2,石橋脩,55,,13,3,5,16.6,1.50.0,0,16,16,16,後方,34.6,3,ハーツクライ,20200216
22,10,8,5,東京,新馬,芝,1800,良,曇,17,エイトキングゴッド,13,牡,2,丹内祐次,55,,12,2.4,9,43,1.49.4,0,2,2,2,先行,36.5,14,エイシンフラッシュ,20200504
22,10,8,5,東京,新馬,芝,1800,良,曇,17,ロマンスハイウェイ,14,牡,2,永野猛蔵,53,,10,2,11,117.3,1.49.0,0,7,10,10,中団,34.9,6,ジャスタウェイ,20200227
22,10,8,5,東京,新馬,芝,1800,良,曇,17,タイセイクラージュ,15,牡,2,横山武史,55,,1,-0.4,4,8.5,1.47.0,0,3,3,2,先行,34,1,サトノクラウン,20200216
22,10,8,5,東京,新馬,芝,1800,良,曇,17,マイネルパーヴェル,16,牡,2,柴田大知,55,,6,1.9,14,184.3,1.48.9,0,7,7,7,中団,35.4,9,ゴールドシップ,20200524
22,10,8,5,東京,新馬,芝,1800,良,曇,17,リリカル,17,牝,2,吉田豊,54,,7,2,7,21.2,1.49.0,0,7,9,9,中団,35.2,7,ハーツクライ,20200405
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,コハル,1,牝,2,北村宏司,54,,18,5.2,12,119.1,1.39.3,0,0,18,18,後方,35.5,14,ジャスタウェイ,20200406
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ピペル,2,牝,2,柴田大知,54,,11,1.9,13,140.8,1.36.0,0,0,10,11,中団,34.8,9,フェノーメノ,20200217
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,グレイウェザーズ,3,牝,2,菅原明良,54,,10,1.8,7,25.2,1.35.9,0,0,15,13,後方,34.6,6,キンシャサノキセキ,20200204
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,アフターグロウ,4,牝,2,Ｍ．デム,54,,3,0.4,9,46.7,1.34.5,0,0,4,5,差し,33.9,3,スクリーンヒーロー,20200516
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ラスパルマス,5,牝,2,原田和真,54,,8,1.4,15,200.8,1.35.5,0,0,3,3,先行,35,10,ワールドエース,20200304
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ゲラウィン,6,牝,2,丹内祐次,54,,7,1.4,4,10.5,1.35.5,0,0,6,8,中団,34.7,8,リアルスティール,20200428
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,パルティキュリエ,7,牝,2,ルメール,54,,2,0.3,1,2,1.34.4,0,0,4,3,先行,33.9,3,キタサンブラック,20200329
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,セイカティターニア,8,牝,2,横山琉人,52,,9,1.7,14,186.2,1.35.8,0,0,6,8,中団,35,10,グレーターロンドン,20200216
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,シバノナスタチウム,9,牝,2,山田敬士,52,,16,4,18,358.7,1.38.1,0,0,15,14,後方,36.6,16,ヴィクトワールピサ,20200320
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ホウオウフェアリー,10,牝,2,田辺裕信,54,,6,1.2,3,8.2,1.35.3,0,0,6,6,中団,34.6,6,スクリーンヒーロー,20200221
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ポロネーズ,11,牝,2,原優介,51,,14,2.7,16,201.8,1.36.8,0,0,15,16,後方,35.1,13,ドレフォン,20200331
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,アリーチェ,12,牝,2,松岡正海,54,,13,2.6,11,100.1,1.36.7,0,0,10,10,中団,35.7,15,ルーラーシップ,20200124
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,ハレアカラフラ,13,牝,2,戸崎圭太,54,,4,0.9,6,20.9,1.35.0,0,0,6,6,差し,34.3,5,ラブリーデイ,20200302
22,10,8,6,東京,新馬・牝,芝,1600,良,曇,18,パールテソーロ,14,牝,2,横山和生,54,,17,4.2,5,12,1.38.3,0,0,10,11,中団,37.1,17,キタサンブラック,20200228
